BEGIN;
BEGIN
select
	s_acctbal,
	s_name,
	n_name,
	p_partkey,
	p_mfgr,
	s_address,
	s_phone,
	s_comment
from
	part,
	supplier,
	partsupp,
	nation,
	region
where
	p_partkey = ps_partkey
	and s_suppkey = ps_suppkey
	and p_size = 21
	and p_type like '%TIN'
	and s_nationkey = n_nationkey
	and n_regionkey = r_regionkey
	and r_name = 'ASIA'
	and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'ASIA'
	)
order by
	s_acctbal desc,
	n_name,
	s_name,
	p_partkey
LIMIT 100;
 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   9999.14 | Supplier#000058246        | CHINA                     |   1633229 | Manufacturer#4            | K44oF,yPllAObqlTuiifUsBObneERr HR        | 28-133-556-7631 | ly unusual foxes. even theodolites haggle according to the express instructio
   9999.06 | Supplier#000048423        | INDIA                     |    173419 | Manufacturer#2            | AGi9fltL8hniyIiOQ,6PHb8Cp41PlN7y         | 18-880-650-5063 | en requests against the requests cajole slyly even, s
   9997.31 | Supplier#000054262        | INDONESIA                 |    754261 | Manufacturer#5            | uEpQIJsmyyiPcQFzSPTTsR 3jSmi2g8zKy8O     | 19-734-179-6868 | slyly slyly unusual packages. 
    9991.7 | Supplier#000033562        | INDONESIA                 |     58561 | Manufacturer#1            | SopB krelv                               | 19-493-533-8956 | even accounts haggle slyly above the regular requests. fluffily final pinto beans cajole even acc
   9991.32 | Supplier#000084065        | VIETNAM                   |    859056 | Manufacturer#5            | CfJ,Bun49DmmJ                            | 31-355-724-3538 | ross the slyly regular excuses.
   9989.98 | Supplier#000056906        | VIETNAM                   |   1131894 | Manufacturer#2            | 6pBmvHO6XCa                              | 31-523-351-3366 |  along the pending accounts. blithely final packages against the slowly unusual packages nag c
   9989.02 | Supplier#000002892        | JAPAN                     |    177890 | Manufacturer#1            | g  RYnxGX5D 192b2QWfOL9 DII              | 22-714-719-2067 | . regular requests across the pend
   9989.02 | Supplier#000002892        | JAPAN                     |   1102891 | Manufacturer#2            | g  RYnxGX5D 192b2QWfOL9 DII              | 22-714-719-2067 | . regular requests across the pend
   9988.06 | Supplier#000014122        | INDONESIA                 |    939094 | Manufacturer#3            | WVMcmU2A9RyNpvd6nzIMmb5xMIwAmBwhHkQ      | 19-281-910-7097 | ss the blithely regular pinto beans. furiously final asymptotes could
   9985.21 | Supplier#000089184        | INDIA                     |    639171 | Manufacturer#5            | UDddwdcFTIM4FfVLg7NAuSZgb6               | 18-655-310-7257 | egular foxes according to the accounts haggle closely special excuses. carefully r
   9983.63 | Supplier#000031339        | VIETNAM                   |    531338 | Manufacturer#4            | wXGGTcAqxolxqbK                          | 31-650-421-8611 | ironic platelets wake furiously across the slyly unusual deposits. slyly slow epitap
   9983.37 | Supplier#000059439        | VIETNAM                   |   1409410 | Manufacturer#2            | Oqnr0n1VyiuuSNcXGu62hnw OSnYJ            | 31-634-513-2651 | al theodolites. furious packages boost carefully blithely final foxes. sl
   9982.61 | Supplier#000013786        | CHINA                     |   1563755 | Manufacturer#2            | 5crkKyfZKs6ut2VsI99sd7TkC0MDrr,G         | 28-745-381-3584 | efully blithely regular excuses. ironic accounts wake furiously-- furiously ironic ideas integ
   9982.61 | Supplier#000013786        | CHINA                     |   1938728 | Manufacturer#2            | 5crkKyfZKs6ut2VsI99sd7TkC0MDrr,G         | 28-745-381-3584 | efully blithely regular excuses. ironic accounts wake furiously-- furiously ironic ideas integ
   9981.63 | Supplier#000029695        | CHINA                     |    329694 | Manufacturer#3            | AJla7EZRfHalUJTcByhzp                    | 28-171-816-1226 | ests. blithely regular dinos sleep. ironic warthogs across the pa
   9980.22 | Supplier#000021606        | INDIA                     |   1271581 | Manufacturer#1            | k2bG9sv8vDyZPJ7,rdqqZHHZoKYjdUqL         | 18-103-295-7877 | nto beans. stealthily bold asymptotes above the slyly bold requests
   9978.95 | Supplier#000096551        | INDIA                     |   1121517 | Manufacturer#4            | TPoDCQDyfv6Oe                            | 18-517-487-7648 | ntegrate final, regular packages. carefully even acco
   9974.44 | Supplier#000037665        | INDIA                     |   1037664 | Manufacturer#4            | ,vDxYlkCibnC7j5BgKPvRAGBiNFt1Hc4bm       | 18-675-474-9582 | nwind; slyly blithe deposits sleep slyly. furiously silent accounts sleep bol
   9961.55 | Supplier#000073980        | VIETNAM                   |    273979 | Manufacturer#4            | wBJEPe60dVEVwkHCX6g,f                    | 31-570-283-6205 | the final, bold asymptotes. carefully regula
   9961.23 | Supplier#000012662        | INDONESIA                 |    137658 | Manufacturer#2            | NpE,rCfLhCLkgkCkjR                       | 19-846-638-1195 | t the slyly regular instructions integrate furiously blithely pendin
   9954.64 | Supplier#000027733        | JAPAN                     |   1602716 | Manufacturer#5            | wMLQPkLkripOnC5tNRrBfEVgtAn              | 22-787-697-5085 | bold accounts. special, i
   9953.38 | Supplier#000057593        | VIETNAM                   |   1307566 | Manufacturer#4            | iNjhvQhTyVPBfEtVnm1VNLtqTC7OYIuFgW,QDZ   | 31-490-408-8259 | alongside of the slyly regular account
   9952.21 | Supplier#000083937        | VIETNAM                   |   1608888 | Manufacturer#2            | JE2INMjpjiP7irz                          | 31-662-568-2464 | unts. express, thin pinto beans use; fluffily even requests above the blithely even deposits are b
   9952.21 | Supplier#000096933        | VIETNAM                   |     46932 | Manufacturer#5            | cAWzB8ZxOA9M0u,6JBry0Ihl,lmZrHGXo        | 31-219-242-5992 | y according to the thin, special
   9951.77 | Supplier#000032130        | VIETNAM                   |    307126 | Manufacturer#1            | 7EXAjSecoiWKgPe3an                       | 31-127-761-8425 | ts. always ironic platelets serve. quickly final deposits use? express deposits abou
   9947.34 | Supplier#000068246        | INDONESIA                 |   1993188 | Manufacturer#2            | 47o2g39A9wcJCTOaQf7qo7fe                 | 19-125-676-9195 |  blithely. unusual, pending platelets use furiously furiously pending reques
   9934.05 | Supplier#000073468        | VIETNAM                   |    373467 | Manufacturer#1            | 2DDkSrjDTbz                              | 31-844-261-1791 | lithely special deposits. blithely pending ideas are requests. special, regular account
   9925.85 | Supplier#000024626        | INDIA                     |   1849571 | Manufacturer#5            | 2m2RLQ4AxZZOkf QAqyPNE3                  | 18-545-297-4152 | eodolites after the special, even packages are furiously blithely bold pinto beans. fina
   9922.76 | Supplier#000051095        | JAPAN                     |    801078 | Manufacturer#4            | V8mVE2aXbpB3IyeHa9BWNvlMtgYb47Y,,v       | 22-970-696-4667 | d quickly furiously slow 
   9922.76 | Supplier#000051095        | JAPAN                     |   1776043 | Manufacturer#3            | V8mVE2aXbpB3IyeHa9BWNvlMtgYb47Y,,v       | 22-970-696-4667 | d quickly furiously slow 
   9920.32 | Supplier#000041715        | INDIA                     |   1191692 | Manufacturer#2            | 7VFxPrE,aRjtmg1SCAUH2                    | 18-351-150-3985 |  packages sleep carefully 
   9919.96 | Supplier#000051916        | JAPAN                     |    901897 | Manufacturer#2            | 4qPxkgSB9YV4SXAVADzh                     | 22-864-126-3822 |  instructions. slyly ironic decoys haggle furiously unus
   9916.17 | Supplier#000055797        | JAPAN                     |   1705762 | Manufacturer#2            | AUynHZSWdrlKABDw0I0Jj                    | 22-711-774-4549 |  among the final, pending accounts-- c
    9912.3 | Supplier#000074817        | JAPAN                     |     74816 | Manufacturer#5            | 7SWcXb43XDpQW8MLp1pxtdg,MXtXUp7BmR,FP    | 22-853-185-1268 |  even instructions: accounts haggle about the carefully regular 
   9911.57 | Supplier#000051096        | VIETNAM                   |    826087 | Manufacturer#5            | m8zaWcXxffif3qSmJx8qJ5ggQ,sdMZTxR3I      | 31-689-774-4181 | ackages. furiously regular accounts ca
    9909.7 | Supplier#000092368        | JAPAN                     |   1342341 | Manufacturer#3            | BxwhDvhlPdXXwZEp3y,vhlA7AeHNsF1xS3       | 22-299-931-3891 | ng instructions. slyly stealthy packages cajole finally deposits
   9907.07 | Supplier#000037647        | JAPAN                     |   1887610 | Manufacturer#1            | LH51l5pE,gkcQeV49NNc5dBdHtOOGBKgcMV      | 22-683-613-5602 | es wake blithely. escapades wake after the slyly regular instructions. instruction
   9905.51 | Supplier#000046060        | CHINA                     |    296055 | Manufacturer#4            | u2ahdVDazkVVTZukeNllob9Tbpt6N4L          | 28-478-778-8193 | ions wake. furiously regul
   9904.76 | Supplier#000067366        | VIETNAM                   |    342362 | Manufacturer#2            | EN2IBNQYSZb                              | 31-660-623-9708 | ly final deposits use evenly pe
   9895.03 | Supplier#000063943        | JAPAN                     |    838934 | Manufacturer#1            | xWw2t5cFl,IO9VgxaAAnV9E2                 | 22-312-936-4303 | gular theodolites about the bl
   9886.22 | Supplier#000084850        | INDONESIA                 |     84849 | Manufacturer#4            | oxjjD1QwGAkw,U51IXj0ErdFRQolI6MgEbGR5K   | 19-830-275-7112 | its. quickly ironic ideas sleep
   9872.78 | Supplier#000014693        | CHINA                     |     14692 | Manufacturer#4            | ZYGODVMrvtgH                             | 28-227-286-9692 | ly regular requests cajole sometimes. sometimes even foxes around the foxes detect blithel
   9872.62 | Supplier#000065005        | VIETNAM                   |   1865004 | Manufacturer#5            | 7i6tgKaXs9s9zXe8L,MZ5                    | 31-811-278-6870 | haggle quickly pinto beans. special requests are at the regular, expres
   9871.61 | Supplier#000007702        | INDONESIA                 |    782694 | Manufacturer#1            | mzgoSrhKy3rd                             | 19-394-466-7780 | s. furiously final instructions since the ironic theodolites eat final, bold theodoli
   9871.61 | Supplier#000007702        | INDONESIA                 |    957683 | Manufacturer#4            | mzgoSrhKy3rd                             | 19-394-466-7780 | s. furiously final instructions since the ironic theodolites eat final, bold theodoli
   9867.48 | Supplier#000063603        | CHINA                     |    588587 | Manufacturer#4            | 9ELepYF28OurrQ4BB6RFMp00Be               | 28-252-886-7720 | al accounts haggle along the reg
    9863.6 | Supplier#000063926        | INDIA                     |    538920 | Manufacturer#1            | ltoWrwDVj7UOta,2XAqlzmPwV5Rck0pobUTFZM   | 18-955-951-1386 | express foxes. furiously express idea
   9863.47 | Supplier#000075399        | VIETNAM                   |    375398 | Manufacturer#2            | sPu3,8zsiGpv                             | 31-890-998-1869 | ckly ironic pinto beans. furiously enticing foxes abov
    9859.5 | Supplier#000038608        | JAPAN                     |    213605 | Manufacturer#1            | E4iv1sCX2ZLymXSKq,3aHV13uSKnHIFGmgvrvxP  | 22-632-997-4431 | along the furiously final requ
   9859.47 | Supplier#000038154        | JAPAN                     |    188151 | Manufacturer#5            | h8Rl kHMU C0GD0u                         | 22-996-501-5079 | counts according to the ironic, even theodolites sublate furiously despite th
   9857.83 | Supplier#000091366        | JAPAN                     |    541355 | Manufacturer#4            | VrQ,wLsNEroOo                            | 22-256-733-8064 |  boldly slyly special requests. slyly ironic packages boost inside the ideas. final requests x-ra
    9855.5 | Supplier#000098784        | CHINA                     |    148781 | Manufacturer#2            | F2nmWLmTXHbLtOC4CkaX 3uFV0oUVBgMa        | 28-109-132-2406 | thely final ideas. quickly pending 
   9854.85 | Supplier#000040284        | VIETNAM                   |   1790249 | Manufacturer#4            |  Cheq9eEPqVdYPRyCeTc                     | 31-263-356-4981 | posits. regular packages sleep 
   9854.78 | Supplier#000083705        | VIETNAM                   |     83704 | Manufacturer#2            | NMim599dtxQrqBX2M,CbulxqPeuaDwTF         | 31-868-743-5372 | lites sleep furiously depos
   9854.78 | Supplier#000083705        | VIETNAM                   |   1508659 | Manufacturer#5            | NMim599dtxQrqBX2M,CbulxqPeuaDwTF         | 31-868-743-5372 | lites sleep furiously depos
   9853.29 | Supplier#000066038        | INDIA                     |   1616005 | Manufacturer#3            | fArLExoerIIo5u8wvook1OR                  | 18-640-315-2219 | ly express deposits. pending packages about the fluffily ironi
   9851.17 | Supplier#000059321        | INDIA                     |      9320 | Manufacturer#5            | WTPoKADdEwW8oWBe7c0O fUHRTzAH7kgHWdud    | 18-549-200-5505 | eposits will have to print closely
   9849.53 | Supplier#000051691        | VIETNAM                   |    926681 | Manufacturer#4            | fFnZRlOhSPFQWzwO 4SX                     | 31-499-927-4544 | haggle accounts! ironic, unusual deposits un
   9845.98 | Supplier#000000175        | JAPAN                     |   1450146 | Manufacturer#5            | Lgv gYbBdu S9                            | 22-392-226-3266 | leep. quickly blithe theodolites wake slyly. furiously pending ideas haggle after the slyly
   9838.71 | Supplier#000064886        | INDONESIA                 |    464885 | Manufacturer#4            | nBXacpPUKe                               | 19-532-308-8586 | ajole after the carefully
   9838.16 | Supplier#000079363        | INDIA                     |    354359 | Manufacturer#5            | c8Zvj1HmPLur0N4OEGeD1sFECnlw7            | 18-380-276-1992 | lly even requests. pending de
   9838.16 | Supplier#000079363        | INDIA                     |    679362 | Manufacturer#5            | c8Zvj1HmPLur0N4OEGeD1sFECnlw7            | 18-380-276-1992 | lly even requests. pending de
    9834.4 | Supplier#000094430        | VIETNAM                   |   1294429 | Manufacturer#3            | my,cR1Dh1eMPvWLYgpyoVJKoLkx6vNuK         | 31-838-609-9758 | unusual deposits. furiously re
   9831.31 | Supplier#000068266        | JAPAN                     |    993238 | Manufacturer#3            | aS1wmFaT8Q1                              | 22-501-258-6485 | out the accounts. blithely bold courts haggle furiously. fluffily unusual packages integ
